year,month,fleet,sex,partition,Nsamp,F6,F8,F10,F12,F14,F16,F18,F20,F22,F24,F26,F28,F30,F32,F34,F36,F38,F40,F42,F44,F46,F48,F50,F52,F54,F56,F58,F60,F62,F64,F66,F68,F70,F72,M6,M8,M10,M12,M14,M16,M18,M20,M22,M24,M26,M28,M30,M32,M34,M36,M38,M40,M42,M44,M46,M48,M50,M52,M54,M56,M58,M60,M62,M64,M66,M68,M70,M72
1996,7,1,0,2,83.58600000000001,0,0,0,0,0,0,0.001179930191555649,0.009209389884605172,0.008947582210709352,0.04619782719730733,0.07608331089094238,0.07892410887936847,0.05661199388151987,0.05752098533084586,0.13279648529347332,0.09077601024579011,0.09227546518312907,0.1351857379214348,0.04524508109019588,0.026904303878372993,0.03636496175792886,0.022541160070622155,0.027753027613412015,0.004224563833648377,0.003730539814197146,0.018527594290267114,0.008901510158293262,0.011134382347845313,0.0034829797792299798,0.0015986566663125567,0.0019412057944965199,0,0,0.0019412057944965199,0,0,0,0,0,0,0.001179930191555649,0.009209389884605172,0.008947582210709352,0.04619782719730733,0.07608331089094238,0.07892410887936847,0.05661199388151987,0.05752098533084586,0.13279648529347332,0.09077601024579011,0.09227546518312907,0.1351857379214348,0.04524508109019588,0.026904303878372993,0.03636496175792886,0.022541160070622155,0.027753027613412015,0.004224563833648377,0.003730539814197146,0.018527594290267114,0.008901510158293262,0.011134382347845313,0.0034829797792299798,0.0015986566663125567,0.0019412057944965199,0,0,0.0019412057944965199
1997,7,1,0,2,345.94,0,0,0,0,0,0.0029826332499801977,0.010290093900352446,0.025286517781605712,0.05961426481444627,0.10264896399573303,0.07784027411019617,0.08055262996064183,0.05380960544035087,0.03975288071078133,0.044886303342158,0.04300035893823683,0.03963712726213047,0.03845453557602171,0.035342110424311776,0.029873986392478794,0.03634785594058521,0.030772870864732328,0.041176067857915874,0.04433101304043144,0.030782677324757483,0.03294222289581239,0.023235954244427166,0.021587223385004944,0.02829813210659302,0.01033075782467356,0.007458035214134325,0.004362838909630468,0.001392625458271187,0.0030094390336052497,0,0,0,0,0,0.0029826332499801977,0.010290093900352446,0.025286517781605712,0.05961426481444627,0.10264896399573303,0.07784027411019617,0.08055262996064183,0.05380960544035087,0.03975288071078133,0.044886303342158,0.04300035893823683,0.03963712726213047,0.03845453557602171,0.035342110424311776,0.029873986392478794,0.03634785594058521,0.030772870864732328,0.041176067857915874,0.04433101304043144,0.030782677324757483,0.03294222289581239,0.023235954244427166,0.021587223385004944,0.02829813210659302,0.01033075782467356,0.007458035214134325,0.004362838909630468,0.001392625458271187,0.0030094390336052497
1998,7,1,0,2,132.466,0,0,0,0,0,0,5.300282291268277e-4,0.005929697789064618,0.03346885306649949,0.07007837369047085,0.1077936158847215,0.09947500727758565,0.12802186257151238,0.08787351068787096,0.047860738559469033,0.055751758827094516,0.0499082934784439,0.0405035535813462,0.03804353781031653,0.03350985380010529,0.04068243249101484,0.025864542119124787,0.01828449150048719,0.021625949316913376,0.014402427061300549,0.014697091946392472,0.017053405452022045,0.019586937355930333,0.014494184877325286,0.005091968220058104,0.004250780721408654,0.001141060635565986,0.00407604304882869,0,0,0,0,0,0,0,5.300282291268277e-4,0.005929697789064618,0.03346885306649949,0.07007837369047085,0.1077936158847215,0.09947500727758565,0.12802186257151238,0.08787351068787096,0.047860738559469033,0.055751758827094516,0.0499082934784439,0.0405035535813462,0.03804353781031653,0.03350985380010529,0.04068243249101484,0.025864542119124787,0.01828449150048719,0.021625949316913376,0.014402427061300549,0.014697091946392472,0.017053405452022045,0.019586937355930333,0.014494184877325286,0.005091968220058104,0.004250780721408654,0.001141060635565986,0.00407604304882869,0
1999,7,1,0,2,140.022,0,0,0,0,0,0,0,0.0014433531074159118,0.0064713785556306455,0.034413262997458,0.07345670382168612,0.08497065767190165,0.1055263028621454,0.09472539044324567,0.0635529660313114,0.07729465589298061,0.07887035169358572,0.07468656071522833,0.05648977550432546,0.03996692038946451,0.03497571669487101,0.028190906675822348,0.018329237029671427,0.013151816901566412,0.022283579964500963,0.015068425813507402,0.015112859683334623,0.019114178430275647,0.021925213229852962,0.010057895990065008,0.0021517829307776412,0.0027046345653975396,0.0022759693089076517,0.0027895030950698856,0,0,0,0,0,0,0,0.0014433531074159118,0.0064713785556306455,0.034413262997458,0.07345670382168612,0.08497065767190165,0.1055263028621454,0.09472539044324567,0.0635529660313114,0.07729465589298061,0.07887035169358572,0.07468656071522833,0.05648977550432546,0.03996692038946451,0.03497571669487101,0.028190906675822348,0.018329237029671427,0.013151816901566412,0.022283579964500963,0.015068425813507402,0.015112859683334623,0.019114178430275647,0.021925213229852962,0.010057895990065008,0.0021517829307776412,0.0027046345653975396,0.0022759693089076517,0.0027895030950698856
2000,7,1,0,2,114.08000000000001,0,0,0,0,0,0,0,0,0.01649618670175531,0.020871032416946995,0.06787253711687313,0.060306696470340336,0.08610723898142993,0.05746923794638149,0.05719061935445283,0.07153552314123861,0.07294608864827272,0.06472403746920645,0.07144512262149857,0.050617134125081,0.05114955383273831,0.04042862088291677,0.03538418142660628,0.026981631482330667,0.021844647664106404,0.02537468504325744,0.02947907071317708,0.020176470243961655,0.013233336534871838,0.012553482642738182,0.015862952655010917,0.004451895776224059,0.003897422675014626,0.0016005934335684344,0,0,0,0,0,0,0,0,0.01649618670175531,0.020871032416946995,0.06787253711687313,0.060306696470340336,0.08610723898142993,0.05746923794638149,0.05719061935445283,0.07153552314123861,0.07294608864827272,0.06472403746920645,0.07144512262149857,0.050617134125081,0.05114955383273831,0.04042862088291677,0.03538418142660628,0.026981631482330667,0.021844647664106404,0.02537468504325744,0.02947907071317708,0.020176470243961655,0.013233336534871838,0.012553482642738182,0.015862952655010917,0.004451895776224059,0.003897422675014626,0.0016005934335684344
2001,7,1,0,2,270.216,0,0,0,0,0,0,1.1083975747582882e-4,0.013224259984858372,0.030457857284992344,0.04675640059309333,0.051403427327739455,0.058252166499809584,0.08764989386187153,0.06240886920992456,0.046103541584167254,0.07231446829899772,0.06362843506561637,0.043917156031564,0.042840356479887695,0.037850449825936744,0.0435451389012947,0.046245528126402174,0.04088475302828877,0.027422659970827604,0.03397308803490403,0.03160125018219294,0.034676430840398495,0.029059911583420583,0.023052611185503096,0.014302481877166082,0.007846386927095805,0.0051530542880795956,0.002346761362943706,0.002971821885547676,0,0,0,0,0,0,1.1083975747582882e-4,0.013224259984858372,0.030457857284992344,0.04675640059309333,0.051403427327739455,0.058252166499809584,0.08764989386187153,0.06240886920992456,0.046103541584167254,0.07231446829899772,0.06362843506561637,0.043917156031564,0.042840356479887695,0.037850449825936744,0.0435451389012947,0.046245528126402174,0.04088475302828877,0.027422659970827604,0.03397308803490403,0.03160125018219294,0.034676430840398495,0.029059911583420583,0.023052611185503096,0.014302481877166082,0.007846386927095805,0.0051530542880795956,0.002346761362943706,0.002971821885547676
2002,7,1,0,2,351.254,0,0,0,0,0,1.1141153043613494e-4,9.014329085685177e-5,9.226350700421061e-4,0.0024584000764382025,0.02304506474527757,0.039826560223427135,0.08310909465835749,0.06866114400264213,0.06470655354524493,0.06788569582998792,0.04957814908949175,0.061207620244654586,0.05094078314629961,0.059442639530204275,0.04827615759552514,0.04347119691930528,0.04836552105263543,0.03709334102565424,0.04064108521517528,0.03701585927932254,0.0353479597626767,0.031118929507350557,0.03315734525143263,0.025197385687737883,0.01674079815853075,0.016454433875710613,0.0045135400658158865,0.004084514150545795,0.006536037469220617,0,0,0,0,0,1.1141153043613494e-4,9.014329085685177e-5,9.226350700421061e-4,0.0024584000764382025,0.02304506474527757,0.039826560223427135,0.08310909465835749,0.06866114400264213,0.06470655354524493,0.06788569582998792,0.04957814908949175,0.061207620244654586,0.05094078314629961,0.059442639530204275,0.04827615759552514,0.04347119691930528,0.04836552105263543,0.03709334102565424,0.04064108521517528,0.03701585927932254,0.0353479597626767,0.031118929507350557,0.03315734525143263,0.025197385687737883,0.01674079815853075,0.016454433875710613,0.0045135400658158865,0.004084514150545795,0.006536037469220617
2003,7,1,0,2,402.478,0,0,0,0,0,9.368167845791965e-4,1.3032239181516052e-4,7.358804497457307e-4,0.0037175834222591855,0.0191845535678706,0.033314255421147916,0.07652596083359046,0.06333541405874253,0.07560633944965528,0.060976780060041126,0.07434036656753623,0.049165256304497654,0.05677546438244716,0.0534081465927745,0.058283349268306,0.04140991411742768,0.03466760024462411,0.04407254986605813,0.033087761826592135,0.044020153266899904,0.03489466979221192,0.032441663980141554,0.03081165993113827,0.02447652335353882,0.018864042180877692,0.014072126809968668,0.00905868714498408,0.005515802741884769,0.006170355188643569,0,0,0,0,0,9.368167845791965e-4,1.3032239181516052e-4,7.358804497457307e-4,0.0037175834222591855,0.0191845535678706,0.033314255421147916,0.07652596083359046,0.06333541405874253,0.07560633944965528,0.060976780060041126,0.07434036656753623,0.049165256304497654,0.05677546438244716,0.0534081465927745,0.058283349268306,0.04140991411742768,0.03466760024462411,0.04407254986605813,0.033087761826592135,0.044020153266899904,0.03489466979221192,0.032441663980141554,0.03081165993113827,0.02447652335353882,0.018864042180877692,0.014072126809968668,0.00905868714498408,0.005515802741884769,0.006170355188643569
2004,7,1,0,2,261.242,0,0,0,0,0,0,3.7125376556602287e-5,1.3879916608758287e-4,0.016325768226394945,0.04160928783268177,0.11626390482500716,0.1650144739999105,0.11170144611873496,0.11117228832977964,0.07078946243991387,0.06318259034773976,0.03250958493204565,0.026377532156644384,0.03684753862081272,0.02736861583748567,0.028285174111754373,0.018661318845004597,0.022011500006955037,0.011232964315630289,0.017161885115409482,0.017513301646545985,0.017342896445058143,0.016993048307204998,0.00824362877461567,0.00583098394678749,0.0029027505897220485,0.008454132842196784,0.00170458052275604,0.0043234163205638325,0,0,0,0,0,0,3.7125376556602287e-5,1.3879916608758287e-4,0.016325768226394945,0.04160928783268177,0.11626390482500716,0.1650144739999105,0.11170144611873496,0.11117228832977964,0.07078946243991387,0.06318259034773976,0.03250958493204565,0.026377532156644384,0.03684753862081272,0.02736861583748567,0.028285174111754373,0.018661318845004597,0.022011500006955037,0.011232964315630289,0.017161885115409482,0.017513301646545985,0.017342896445058143,0.016993048307204998,0.00824362877461567,0.00583098394678749,0.0029027505897220485,0.008454132842196784,0.00170458052275604,0.0043234163205638325
2005,7,1,0,2,277.562,0,0,0,0,0,0,0.0011897316665503482,0.004301944340853701,0.0415680840835511,0.07293801111950117,0.13664756788768329,0.13509732517779274,0.10879035293358337,0.0982198915858097,0.07392558149717178,0.047349417832764466,0.04696528217286449,0.02697722259190859,0.031732149271981064,0.022071113003161044,0.02921708689476601,0.019539439386403314,0.018108422628528967,0.017554052639897202,0.012572283150949003,0.015457296896658696,0.012241002176826379,0.011795567726957798,0.005412975280407056,0.0033031427344831265,0.0033069983203148777,0.0017693903029974145,0.0012482726962015865,7.00393999431723e-4,0,0,0,0,0,0,0.0011897316665503482,0.004301944340853701,0.0415680840835511,0.07293801111950117,0.13664756788768329,0.13509732517779274,0.10879035293358337,0.0982198915858097,0.07392558149717178,0.047349417832764466,0.04696528217286449,0.02697722259190859,0.031732149271981064,0.022071113003161044,0.02921708689476601,0.019539439386403314,0.018108422628528967,0.017554052639897202,0.012572283150949003,0.015457296896658696,0.012241002176826379,0.011795567726957798,0.005412975280407056,0.0033031427344831265,0.0033069983203148777,0.0017693903029974145,0.0012482726962015865,7.00393999431723e-4
2006,7,1,0,2,270.074,0,0,0,0,0,0,0.002085750953989827,0.004291526165171526,0.02489447681365589,0.09194345324620416,0.0941563205248523,0.1185645459963034,0.12787723788308641,0.10247214368697488,0.06606715413253121,0.05647436920634393,0.04912854852348676,0.02956123591533991,0.034993317290627275,0.025951895037283575,0.027784860586533774,0.023099895131689124,0.019901909175233313,0.01645233288790478,0.01469708825325767,0.013150292366353887,0.02114310449291689,0.007277504576862959,0.010492594362720195,0.005607864007040296,0.005091650183935453,0.0024497019914274747,0.0019501061337939291,0.0024391204744791577,0,0,0,0,0,0,0.002085750953989827,0.004291526165171526,0.02489447681365589,0.09194345324620416,0.0941563205248523,0.1185645459963034,0.12787723788308641,0.10247214368697488,0.06606715413253121,0.05647436920634393,0.04912854852348676,0.02956123591533991,0.034993317290627275,0.025951895037283575,0.027784860586533774,0.023099895131689124,0.019901909175233313,0.01645233288790478,0.01469708825325767,0.013150292366353887,0.02114310449291689,0.007277504576862959,0.010492594362720195,0.005607864007040296,0.005091650183935453,0.0024497019914274747,0.0019501061337939291,0.0024391204744791577
2007,7,1,0,2,414.37600000000003,0,0,0,0,0,0,0.0026007161287989683,0.005360575021859503,0.02971170020786977,0.08072077350638938,0.13696895115189364,0.13338020094716152,0.12101558087428223,0.10629465180887566,0.09153502110084508,0.06590084110360507,0.048052996768017234,0.03716307192448756,0.02456058699571348,0.019671109759746123,0.01813534646311216,0.007644138373071298,0.009378193211863858,0.009988372968806064,0.014489061373804384,0.006133608445423089,0.00895356519066197,0.00698388786412694,0.006082244439364967,0.0035180407462244595,0.0024338037876223766,0.001536755302366596,9.351817084635852e-4,8.510228255429802e-4,0,0,0,0,0,0,0.0026007161287989683,0.005360575021859503,0.02971170020786977,0.08072077350638938,0.13696895115189364,0.13338020094716152,0.12101558087428223,0.10629465180887566,0.09153502110084508,0.06590084110360507,0.048052996768017234,0.03716307192448756,0.02456058699571348,0.019671109759746123,0.01813534646311216,0.007644138373071298,0.009378193211863858,0.009988372968806064,0.014489061373804384,0.006133608445423089,0.00895356519066197,0.00698388786412694,0.006082244439364967,0.0035180407462244595,0.0024338037876223766,0.001536755302366596,9.351817084635852e-4,8.510228255429802e-4
2008,7,1,0,2,457.08000000000004,0,0,0,0,0,3.4523201495551437e-4,0.003928069217366548,0.02127637548218065,0.06926039747960022,0.11122488564590752,0.12822183413117727,0.10932271130875706,0.09727294627454994,0.08149641639807183,0.06462609138841353,0.048667572283448333,0.0412925080576177,0.03616512508480917,0.027088136453137318,0.01942756886857902,0.01980502976483826,0.019802570110704996,0.010459437732558844,0.0121233828872796,0.010838782532716132,0.013620648851610082,0.011572555691189463,0.01608943941408599,0.009508237261447198,0.005075255807742691,0.005570343006546293,0.002561493234852781,8.326898079142635e-4,0.0025242638079416915,0,0,0,0,0,3.4523201495551437e-4,0.003928069217366548,0.02127637548218065,0.06926039747960022,0.11122488564590752,0.12822183413117727,0.10932271130875706,0.09727294627454994,0.08149641639807183,0.06462609138841353,0.048667572283448333,0.0412925080576177,0.03616512508480917,0.027088136453137318,0.01942756886857902,0.01980502976483826,0.019802570110704996,0.010459437732558844,0.0121233828872796,0.010838782532716132,0.013620648851610082,0.011572555691189463,0.01608943941408599,0.009508237261447198,0.005075255807742691,0.005570343006546293,0.002561493234852781,8.326898079142635e-4,0.0025242638079416915
2009,7,1,0,2,478.85200000000003,0,0,0,0,0,0.0025922923982367825,0.0017707450935521766,0.008713032476495413,0.030986090325399823,0.07781947897345892,0.11631209248770932,0.13226766125505396,0.12319287199851954,0.09070025467194252,0.09389101746749545,0.07435148617948062,0.03541511134167253,0.024790104436095067,0.027135628906990446,0.02420919705997195,0.012602830512792493,0.013286108591782612,0.01618657316738184,0.013351421408269403,0.014101638512267109,0.014060809081309677,0.010913250495394175,0.013479292257281667,0.0083919978464905,0.0074089062865566385,0.003922713816950736,0.0026280380938899133,0.0014733564998002894,0.004045998357758454,0,0,0,0,0,0.0025922923982367825,0.0017707450935521766,0.008713032476495413,0.030986090325399823,0.07781947897345892,0.11631209248770932,0.13226766125505396,0.12319287199851954,0.09070025467194252,0.09389101746749545,0.07435148617948062,0.03541511134167253,0.024790104436095067,0.027135628906990446,0.02420919705997195,0.012602830512792493,0.013286108591782612,0.01618657316738184,0.013351421408269403,0.014101638512267109,0.014060809081309677,0.010913250495394175,0.013479292257281667,0.0083919978464905,0.0074089062865566385,0.003922713816950736,0.0026280380938899133,0.0014733564998002894,0.004045998357758454
2010,7,1,0,2,522.94,0,0,0.001927102932629119,4.0323141638416314e-4,0,2.5274057764716285e-4,0.0030645878875985807,0.026255306185738635,0.03650563831886476,0.062205824692549344,0.12565423079891053,0.12375203649984294,0.12139817524612248,0.09660334115099481,0.07070907122932277,0.051363958821203835,0.041507047223567364,0.029466897082600925,0.027109529134867097,0.03240524370277575,0.015467665101152377,0.018163061552682644,0.014745116595334324,0.013661203870649603,0.011426621609053883,0.012602289258508868,0.01671640017834491,0.015512277966220612,0.007924243433145744,0.009916614938701124,0.005312688709721568,0.003926623527564684,0.0019400492994907424,0.002101181057808543,0,0,0.001927102932629119,4.0323141638416314e-4,0,2.5274057764716285e-4,0.0030645878875985807,0.026255306185738635,0.03650563831886476,0.062205824692549344,0.12565423079891053,0.12375203649984294,0.12139817524612248,0.09660334115099481,0.07070907122932277,0.051363958821203835,0.041507047223567364,0.029466897082600925,0.027109529134867097,0.03240524370277575,0.015467665101152377,0.018163061552682644,0.014745116595334324,0.013661203870649603,0.011426621609053883,0.012602289258508868,0.01671640017834491,0.015512277966220612,0.007924243433145744,0.009916614938701124,0.005312688709721568,0.003926623527564684,0.0019400492994907424,0.002101181057808543
2011,7,1,0,2,395.57800000000003,0,0,0,0,0,0.0032512132849565225,0.0066159930711316706,0.023239672343224847,0.04015867533264615,0.07428624781340844,0.13660111559604843,0.14607226412116062,0.11535856334120197,0.10618193484405289,0.061034363331247427,0.058202245215640894,0.03960948516653573,0.026225132093073658,0.0298605872829107,0.01983129731019835,0.01230304523973143,0.019974955203382053,0.015336750580022302,0.01028003406506349,0.009449697891889108,0.008625183026652272,0.009599782298961128,0.0057168092191354665,0.006116782601541594,0.004800702622213414,0.004286053508757266,0.002315670658679308,0.0031352351677442383,0.0015305077687885803,0,0,0,0,0,0.0032512132849565225,0.0066159930711316706,0.023239672343224847,0.04015867533264615,0.07428624781340844,0.13660111559604843,0.14607226412116062,0.11535856334120197,0.10618193484405289,0.061034363331247427,0.058202245215640894,0.03960948516653573,0.026225132093073658,0.0298605872829107,0.01983129731019835,0.01230304523973143,0.019974955203382053,0.015336750580022302,0.01028003406506349,0.009449697891889108,0.008625183026652272,0.009599782298961128,0.0057168092191354665,0.006116782601541594,0.004800702622213414,0.004286053508757266,0.002315670658679308,0.0031352351677442383,0.0015305077687885803
